artist,album,track_name,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo
Lamb of God,Lamb of God,Memento Mori,0.538,0.984,-4.589,0.0992,0.787,0.127,0.0494,123.008
Slipknot,Vol. 3: The Subliminal Verses,Duality,0.354,0.982,-3.026,0.168,0.000294,0.204,0.194,143.772
As I Lay Dying,Shaped by Fire,The Wreckage,0.479,0.966,-6.548,0.0851,0.00697,0.297,0.0556,119.982
As I Lay Dying,Shaped by Fire,My Own Grave,0.477,0.994,-4.953,0.241,0.0129,0.0534,0.0397,125.058
Lamb of God,Lamb of God,Bloodshot Eyes,0.538,0.991,-3.117,0.0699,0.00352,0.337,0.19,116.011
Fit For A King,The Path,The Path,0.481,0.932,-4.344,0.0434,0.0,0.295,0.416,114.628
As I Lay Dying,Destruction or Strength,Destruction or Strength,0.436,0.973,-5.887,0.173,0.564,0.0763,0.0394,119.945
Mick Gordon,Doom (Original Game Soundtrack),Bfg Division,0.284,0.722,-8.284,0.0559,0.873,0.163,0.0383,116.292
Various Artists,Wolfenstein II: The New Colossus (Original Game Soundtrack),"Nazi Punks, Gtfo",0.331,0.872,-10.175,0.0985,0.255,0.107,0.111,155.025
Bleed From Within,The End of All We Know,The End of All We Know,0.311,0.959,-5.104,0.107,0.00012,0.328,0.336,149.406
Lamb of God,Lamb of God,Reality Bath,0.404,0.986,-3.831,0.319,0.558,0.0867,0.122,200.04
Slipknot,We Are Not Your Kind,Solway Firth,0.214,0.969,-3.924,0.106,0.246,0.138,0.0369,159.948
Slipknot,.5: The Gray Chapter (Special Edition),AOV,0.536,0.988,-1.777,0.0671,6.45e-05,0.366,0.231,130.777
Slipknot,Slipknot (10th Anniversary Edition),Surfacing,0.443,0.993,-4.517,0.101,0.0437,0.307,0.276,106.875
Slipknot,Slipknot (10th Anniversary Edition),Spit It Out,0.331,0.946,-4.599,0.0775,5.62e-06,0.254,0.534,139.965
Slipknot,Vol. 3: The Subliminal Verses,Scream,0.323,0.982,-3.239,0.147,2.41e-06,0.301,0.321,124.711
Slipknot,All Out Life,All Out Life,0.499,0.97,-2.838,0.116,0.136,0.0871,0.0506,106.558
System Of A Down,Toxicity,Prison Song,0.493,0.974,-3.252,0.135,8.31e-05,0.182,0.354,99.647
Agonize The Serpent,Pray for a Plague,From Within,0.479,0.889,-10.103,0.05,0.0251,0.0571,0.309,89.997
Agonize The Serpent,Through the Eyes of a Serpent,Amnesia,0.444,0.998,-3.998,0.187,0.0333,0.421,0.0811,115.017
Caliban,Coverfield - EP,Sonne,0.424,0.955,-5.091,0.0623,0.000191,0.776,0.251,74.994
Saint Asonia,Saint Asonia (European Edition),Fairy Tale,0.566,0.964,-4.446,0.0995,0.0,0.352,0.455,101.986
Lamb of God,VII: Sturm und Drang,512,0.259,0.966,-5.178,0.0775,0.0927,0.09,0.112,128.73
Lamb of God,VII: Sturm und Drang,Torches,0.261,0.96,-6.434,0.0859,0.0659,0.108,0.0797,127.229
Slipknot,Iowa,Left Behind,0.229,0.994,-3.431,0.22,0.00548,0.318,0.115,156.623
Slipknot,Vol. 3: The Subliminal Verses,Three Nil,0.311,0.993,-2.484,0.2,9.78e-06,0.2,0.105,114.273
Slipknot,Slipknot (10th Anniversary Edition),Eyeless,0.293,0.997,-4.364,0.217,3.95e-05,0.415,0.13,100.348
Slipknot,Slipknot (10th Anniversary Edition),(sic),0.38,0.994,-4.638,0.124,0.00128,0.0956,0.267,96.325
Slipknot,.5: The Gray Chapter (Special Edition),The Negative One,0.505,0.979,-1.665,0.0715,0.00135,0.334,0.312,108.2
Lamb of God,VII: Sturm und Drang,Delusion Pandemic,0.283,0.973,-5.31,0.0826,0.000337,0.348,0.161,117.547
Orbit Culture,Nija,North Star of Nija,0.423,0.99,-2.313,0.155,0.00111,0.0937,0.116,110.035
As I Lay Dying,Shadows Are Security,Confined,0.279,0.987,-4.578,0.0992,0.000122,0.12,0.22,85.629
Five Finger Death Punch,F8,Inside Out,0.476,0.991,-2.855,0.15,0.0,0.121,0.202,82.997
The Curse Within,Condemned,Condemned,0.502,0.956,-5.977,0.165,0.0102,0.326,0.399,95.021
Lamb of God,VII: Sturm und Drang,Nightmare Seeker (The Little Red House),0.494,0.973,-6.12,0.0457,0.0214,0.346,0.119,112.995
As I Lay Dying,An Ocean Between Us,The Sound Of Truth,0.368,0.981,-4.084,0.12,0.00549,0.129,0.277,165.018
Rammstein,RAMMSTEIN,DEUTSCHLAND,0.521,0.895,-5.242,0.0442,0.349,0.0985,0.237,120.117
Mick Gordon,Doom (Original Game Soundtrack),Rip & Tear,0.506,0.882,-8.683,0.0737,0.795,0.174,0.14,107.994
